event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,44,44,3330833,3427772,3330833,0,1000,0,0,8
2,57,101,3291920,3341231,3418192,0,997,0,0,0
3,42,143,3655799,3695222,3427174,1,996,2,0,10
4,53,196,2726709,2758082,2923960,0,995,1,0,5
5,73,269,1593188,1623998,2179722,0,1001,0,0,6
6,52,321,2741140,2781356,2066964,3,1006,1,0,17
7,53,374,3605387,3673886,2108382,3,1007,0,0,23
8,64,438,2016768,2048360,1877146,1,1007,2,0,16
9,67,505,1682596,1713227,1562126,1,1012,0,0,15
10,40,545,4850925,4886964,1808611,7,1013,1,0,15
11,72,617,2034457,2063376,1632855,1,1017,2,0,2
12,46,663,5123570,5151131,1956773,0,1018,1,0,5
13,44,707,3522729,3579958,1976958,1,1021,1,0,9
14,73,780,1869249,1894351,1773629,1,1022,1,0,3
15,49,829,2197574,2234814,1671456,1,1023,1,0,13
16,34,863,4898062,4926020,1855506,0,1022,1,0,3
17,78,941,470360,485891,1476413,6,1022,1,0,2
18,31,972,3456784,3469523,1574527,1,1022,1,0,0
19,93,1065,1382473,1406742,1383709,1,1020,0,0,0
20,36,1101,5039465,5115902,1513377,0,1016,0,0,10
21,53,1154,3047429,3096725,1520644,0,1020,0,0,10
22,98,1252,119413,122183,1098305,12,1023,2,0,9
23,66,1318,2667005,2722504,1100611,12,1030,0,0,25
