event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,60,60,1644287,1664679,1644287,5,1000,0,0,1
2,73,133,1310233,1317876,856427,5,1000,0,0,0
3,38,171,4580037,4589267,1257475,9,1002,1,0,2
4,62,233,1577260,1581682,904535,16,1003,2,0,2
5,49,282,5236913,5242846,1546282,16,1001,0,0,0
6,38,320,5721828,5728780,2114216,19,1003,1,0,6
7,62,382,1698345,1708345,1750903,17,1003,0,0,9
8,85,467,76635,77571,865138,17,1007,0,0,3
9,73,540,868874,876038,571231,0,1013,1,0,3
10,60,600,723711,729044,393269,0,1016,0,0,8
11,75,675,1483163,1492468,325360,0,1022,1,0,1
12,77,752,145884,147829,167044,0,1024,0,0,3
13,45,797,3045169,3062340,179130,0,1026,0,0,5
14,90,887,252523,256763,91412,0,1026,0,0,5
15,50,937,1920042,1929006,91473,0,1028,0,0,3
16,45,982,2022636,2037650,100593,0,1032,0,0,2
17,50,1032,5148717,5160617,176786,0,1031,0,0,1
18,48,1080,1047512,1072168,159195,0,1030,0,0,0
19,59,1139,6011128,6020268,397424,0,1027,0,0,1
20,34,1173,5695358,5700831,515393,1,1023,2,0,6
21,66,1239,1182310,1188235,424416,6,1013,0,0,2
22,82,1321,892882,900058,366496,6,1016,0,0,13
23,74,1395,1234950,1243609,324401,6,1023,0,0,9
