element_in,element_in_cost,element_out,element_out_cost,entry,event,time
470,42,376,45,1093759,7,2020-10-28T23:05:17.056486Z
375,45,145,40,1093759,7,2020-10-28T23:05:17.056143Z
37,73,55,44,1093759,7,2020-10-28T23:05:17.055686Z
32,40,56,40,1093759,7,2020-10-28T23:05:17.055329Z
76,45,338,53,1093759,7,2020-10-28T23:05:17.054896Z
363,45,70,45,1093759,7,2020-10-28T23:05:17.054245Z
202,59,377,58,1093759,7,2020-10-28T23:05:17.053602Z
366,85,184,58,1093759,7,2020-10-28T23:05:17.053007Z
390,95,272,115,1093759,7,2020-10-28T23:05:17.052331Z
197,45,259,74,1093759,7,2020-10-28T23:05:17.051556Z
232,56,457,59,1093759,6,2020-10-17T14:27:21.763840Z
302,105,390,90,1093759,4,2020-10-03T09:02:49.987025Z
164,73,117,95,1093759,4,2020-09-26T18:51:02.592886Z
272,116,4,120,1093759,3,2020-09-22T07:22:14.847056Z
