element_in,element_in_cost,element_out,element_out_cost,entry,event,time
105,47,147,43,4999866,23,2021-02-04T23:56:33.939042Z
109,45,232,58,4999866,23,2021-02-04T23:53:08.612013Z
117,92,303,88,4999866,20,2021-01-26T09:21:53.645026Z
303,88,262,45,4999866,20,2021-01-24T13:11:16.252595Z
437,63,224,100,4999866,20,2021-01-24T13:11:16.252238Z
366,83,117,92,4999866,20,2021-01-24T13:11:16.251869Z
276,114,254,125,4999866,20,2021-01-24T13:11:16.251493Z
147,43,76,45,4999866,20,2021-01-24T13:11:16.251157Z
273,51,422,45,4999866,20,2021-01-24T13:11:16.250732Z
146,39,196,38,4999866,20,2021-01-24T13:11:16.250335Z
422,45,97,45,4999866,19,2021-01-16T10:41:00.756820Z
16,45,443,44,4999866,19,2021-01-16T10:32:58.413454Z
376,47,369,47,4999866,16,2020-12-27T21:23:12.625235Z
262,45,366,83,4999866,15,2020-12-23T22:54:53.119301Z
76,45,287,69,4999866,15,2020-12-23T22:54:53.118669Z
254,125,65,50,4999866,15,2020-12-23T22:54:53.117946Z
97,45,470,42,4999866,15,2020-12-23T22:54:53.117205Z
32,40,128,49,4999866,15,2020-12-23T22:54:53.109723Z
287,69,468,68,4999866,13,2020-12-13T22:55:16.972832Z
366,83,514,60,4999866,12,2020-12-11T11:50:02.821427Z
65,50,114,81,4999866,12,2020-12-11T11:50:02.807661Z
128,50,429,40,4999866,11,2020-12-04T08:58:09.616761Z
468,67,508,77,4999866,10,2020-11-27T17:14:36.953869Z
37,75,485,49,4999866,9,2020-11-20T10:58:40.481962Z
514,60,460,85,4999866,9,2020-11-08T22:18:15.353070Z
114,80,205,56,4999866,8,2020-11-04T09:28:40.953970Z
443,44,461,52,4999866,8,2020-11-04T09:28:40.943922Z
470,42,513,44,4999866,8,2020-11-02T19:58:01.303687Z
369,45,542,55,4999866,7,2020-10-29T16:43:45.413742Z
542,55,62,49,4999866,6,2020-10-19T21:02:32.437884Z
12,47,217,55,4999866,6,2020-10-19T21:02:32.430708Z
232,56,155,60,4999866,5,2020-10-17T08:52:50.106343Z
485,51,113,50,4999866,4,2020-10-02T22:40:25.421183Z
205,56,338,54,4999866,4,2020-09-30T07:37:08.569346Z
460,85,108,59,4999866,3,2020-09-22T08:29:53.812767Z
461,51,353,50,4999866,3,2020-09-22T08:29:53.640306Z
302,105,251,120,4999866,2,2020-09-15T12:48:34.785889Z
508,75,119,85,4999866,2,2020-09-15T12:48:34.783347Z
155,60,27,45,4999866,2,2020-09-15T12:48:34.676520Z
