,id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,entry_rank,entry_last_rank
0,5,Chelsea,team-5,2020-08-15T09:00:46.916684Z,False,,,s,c,,1,False,False,False,False,,,216100,205912
1,215,Slovenia,region-195,2020-08-15T09:00:50.577411Z,False,,,s,c,,1,False,False,False,False,,,3317,3214
2,276,Gameweek 1,event-1,2020-08-15T09:00:52.298412Z,False,,,s,c,,1,False,False,False,False,,,3356611,3256664
3,314,Overall,overall,2020-08-15T09:00:54.021038Z,False,,,s,c,,1,False,False,False,True,315.0,False,3579443,3454375
4,129628,Fuzbal za kašeljsko,,2020-08-17T10:47:18.451469Z,False,,,x,c,438577.0,1,True,False,False,False,,,9,9
5,203646,Ballers Glory league,,2020-08-19T20:36:42.973605Z,False,,,x,c,704800.0,1,True,False,False,False,,,626,617
6,217187,Morje,,2020-08-20T10:35:47.452118Z,False,,,x,c,1025697.0,1,True,False,False,False,,,4,4
7,746814,PL 2019/20,,2020-09-08T07:38:37.027345Z,False,,,x,c,3327253.0,1,True,False,False,False,,,15,14
8,992352,Football Planet,,2020-09-11T01:02:24.129282Z,False,,,x,c,4350085.0,1,True,False,False,False,,,661,654
