,season_name,total_points,rank
0,2012/13,1403,2284345
1,2013/14,1805,1711788
2,2014/15,1611,2054761
3,2016/17,1838,1572225
4,2017/18,1787,2912564
5,2018/19,2160,443976
6,2019/20,2134,656550
