event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,46,46,3094709,3196440,3094709,20,1000,0,0,0
2,47,85,4858488,4862560,4725669,30,1001,3,8,9
3,44,125,3172443,3212849,4715570,3,1001,2,4,0
4,47,168,3676227,3697975,4607339,0,1003,2,4,19
5,76,244,1263309,1283295,3530187,4,1002,1,0,0
6,67,307,586044,598132,2777545,6,1005,2,4,2
7,53,360,3724535,3774805,2798151,16,1008,1,0,0
8,79,431,289684,293092,2188999,2,1009,3,8,3
9,53,480,4399981,4425116,2533351,1,1018,2,4,12
10,56,536,1323729,1363369,2151826,11,1019,1,0,3
11,57,593,4994320,5023891,2442653,1,1026,1,0,0
12,59,648,2358277,2388463,2442328,9,1025,2,4,3
13,39,687,5071912,5119652,2601360,8,1026,1,0,2
14,77,764,1284589,1324780,2223114,8,1027,0,0,4
15,43,795,3642795,3643929,2571400,1,1023,5,12,2
16,36,831,4389689,4424018,2668651,1,1023,1,0,0
17,64,895,2385390,2457061,2568202,1,1025,0,0,0
18,7,902,7626032,7652379,3102642,1,1026,0,0,0
19,60,962,5998954,6004871,3387318,0,1024,2,0,2
20,46,1008,2728159,2791511,3285146,5,1025,0,0,2
21,40,1048,5407848,5464578,3473480,5,1031,0,0,0
22,60,1108,3692964,3738019,3454375,5,1032,0,0,0
23,54,1162,5236419,5254150,3579443,14,1033,2,0,13
