element,position,multiplier,is_captain,is_vice_captain
363,1,1,False,False
259,2,1,False,False
457,3,1,False,False
155,4,1,False,False
353,5,1,False,False
4,6,2,True,False
338,7,1,False,False
114,8,1,False,False
184,9,1,False,False
117,10,1,False,True
437,11,1,False,False
96,12,0,False,False
471,13,0,False,False
24,14,0,False,False
315,15,0,False,False
