event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,42,42,3570494,3605942,3570494,5,1000,0,0,0
2,53,95,3959327,3972848,3972680,10,998,1,0,1
3,31,126,5966644,5974720,4633087,9,997,1,0,6
4,56,182,2302297,2315544,3793437,14,993,1,0,21
5,54,236,4589286,4600207,3917413,1,989,1,0,3
6,46,282,3955643,3977682,3940320,1,991,0,0,10
7,57,339,2858044,2869334,3751023,4,988,2,0,6
8,55,394,3710572,3728437,3698138,4,991,0,0,9
9,47,441,5417821,5424436,3975350,21,995,2,0,10
10,48,489,2858774,2879315,3806015,21,996,0,0,0
11,43,532,6822090,6824002,4350342,6,997,2,0,3
12,31,563,7054941,7056109,4776784,2,999,1,0,19
13,55,618,736698,752475,4475060,2,999,0,0,11
14,48,666,5906701,5910298,4674766,19,998,2,0,3
15,30,696,6313039,6318168,4836586,7,1001,1,0,5
16,43,739,2466663,2495237,4693645,7,1002,0,0,6
17,26,765,7599298,7599410,5144325,3,1001,2,0,2
18,39,804,2152999,2172486,4926206,3,998,0,0,11
19,102,906,791408,798010,4389100,10,987,0,0,26
20,56,962,1208835,1218333,4118172,5,990,1,0,4
21,73,1035,609451,615616,3699304,44,994,1,0,3
22,67,1102,2790499,2803667,3546986,35,997,1,0,13
23,66,1168,2772671,2791640,3481754,31,1005,1,0,18
