element_in,element_in_cost,element_out,element_out_cost,entry,event,time
597,44,523,40,1841136,23,2021-02-04T06:25:50.593948Z
271,58,309,49,1841136,22,2021-02-01T11:12:42.301865Z
514,61,224,100,1841136,21,2021-01-27T06:33:02.899803Z
12,51,363,46,1841136,20,2021-01-17T11:06:01.532522Z
23,45,263,44,1841136,19,2021-01-15T09:34:50.858366Z
558,47,41,53,1841136,19,2021-01-15T09:34:50.858057Z
42,46,110,54,1841136,19,2021-01-15T09:34:50.857710Z
224,101,117,92,1841136,19,2021-01-15T09:34:50.857376Z
437,62,164,77,1841136,19,2021-01-15T09:34:50.857064Z
302,113,37,76,1841136,19,2021-01-15T09:34:50.856713Z
309,49,474,58,1841136,19,2021-01-15T09:34:50.856353Z
449,53,203,54,1841136,19,2021-01-15T09:34:50.855959Z
273,50,11,51,1841136,19,2021-01-15T09:34:50.855616Z
277,58,232,58,1841136,19,2021-01-15T09:34:50.855276Z
523,40,96,54,1841136,19,2021-01-15T09:34:50.854781Z
335,43,313,53,1841136,18,2021-01-07T12:12:06.621018Z
474,60,45,58,1841136,18,2021-01-07T12:12:06.620523Z
271,54,424,43,1841136,18,2021-01-06T09:33:20.204639Z
313,53,391,51,1841136,18,2021-01-06T09:33:20.203760Z
424,43,144,44,1841136,18,2021-01-05T12:44:48.219610Z
391,51,335,43,1841136,18,2021-01-05T12:44:48.219202Z
506,65,303,87,1841136,18,2021-01-05T12:44:48.218604Z
45,58,474,60,1841136,18,2021-01-05T12:44:48.217995Z
273,50,313,53,1841136,18,2021-01-05T12:44:48.217180Z
325,50,12,50,1841136,18,2021-01-05T12:44:48.216392Z
335,43,603,39,1841136,18,2021-01-05T12:21:22.185218Z
303,87,164,78,1841136,18,2021-01-05T12:21:22.184517Z
144,44,37,76,1841136,18,2021-01-05T12:21:22.184050Z
474,60,309,49,1841136,18,2021-01-05T12:21:22.183266Z
313,53,324,45,1841136,18,2021-01-05T12:21:22.182801Z
24,53,480,47,1841136,18,2021-01-05T12:09:03.978423Z
324,45,11,51,1841136,18,2021-01-05T12:09:03.977457Z
302,113,23,44,1841136,18,2021-01-05T07:08:38.833218Z
146,39,41,53,1841136,18,2021-01-05T07:08:38.832548Z
603,39,110,54,1841136,18,2021-01-05T07:08:38.831863Z
528,40,363,46,1841136,18,2021-01-05T07:08:38.831180Z
6,82,202,62,1841136,18,2021-01-05T07:08:38.830533Z
388,110,117,92,1841136,18,2021-01-05T07:08:38.829910Z
309,49,254,126,1841136,18,2021-01-05T07:08:38.829342Z
480,47,474,58,1841136,18,2021-01-05T07:08:38.828748Z
390,97,203,54,1841136,18,2021-01-05T07:08:38.828418Z
277,57,255,73,1841136,18,2021-01-05T07:08:38.828089Z
17,54,232,58,1841136,18,2021-01-05T07:08:38.827745Z
12,50,96,54,1841136,18,2021-01-05T07:08:38.827320Z
23,44,263,44,1841136,18,2021-01-05T06:50:50.529381Z
203,54,508,76,1841136,17,2020-12-31T09:28:56.569942Z
255,73,77,47,1841136,17,2020-12-31T09:28:56.562697Z
254,126,4,114,1841136,15,2020-12-26T09:21:18.280774Z
263,44,24,52,1841136,14,2020-12-19T09:58:25.913949Z
77,48,457,57,1841136,14,2020-12-19T09:58:25.903326Z
474,56,338,52,1841136,12,2020-12-08T11:51:56.366354Z
164,79,358,55,1841136,11,2020-11-29T22:50:58.466073Z
11,52,155,61,1841136,11,2020-11-29T22:50:58.451632Z
41,53,259,73,1841136,9,2020-11-20T10:05:02.346013Z
37,75,315,72,1841136,9,2020-11-20T10:05:02.310275Z
358,55,184,58,1841136,7,2020-10-28T10:00:05.806206Z
110,51,494,51,1841136,7,2020-10-28T10:00:05.796119Z
232,56,471,43,1841136,5,2020-10-16T18:02:57.926631Z
202,58,437,63,1841136,4,2020-10-03T07:48:59.606854Z
494,51,353,50,1841136,3,2020-09-23T11:14:03.528336Z
508,75,114,80,1841136,2,2020-09-15T07:38:18.651930Z
