element_in,element_in_cost,element_out,element_out_cost,entry,event,time
370,59,284,65,1457623,8,2020-11-03T16:58:46.870950Z
37,72,481,60,1457623,7,2020-10-25T15:57:46.988820Z
388,108,117,93,1457623,6,2020-10-23T06:35:19.836392Z
546,55,250,64,1457623,6,2020-10-23T06:35:19.828906Z
232,56,123,51,1457623,5,2020-10-05T05:47:45.633448Z
481,60,390,90,1457623,4,2020-09-30T19:07:25.767339Z
508,76,205,56,1457623,3,2020-09-24T07:43:28.862303Z
123,51,498,56,1457623,3,2020-09-24T07:43:28.858014Z
77,45,347,55,1457623,3,2020-09-24T07:43:28.849222Z
498,56,353,50,1457623,3,2020-09-24T07:34:50.697432Z
239,46,362,50,1457623,3,2020-09-24T07:34:50.691756Z
205,56,465,65,1457623,3,2020-09-24T07:34:50.687275Z
12,45,194,45,1457623,3,2020-09-24T07:34:50.677001Z
202,57,492,59,1457623,3,2020-09-24T07:34:50.672104Z
284,65,229,64,1457623,3,2020-09-24T07:34:50.665534Z
141,71,339,60,1457623,3,2020-09-24T07:34:50.657084Z
390,90,478,81,1457623,3,2020-09-24T07:34:50.650003Z
519,40,182,50,1457623,3,2020-09-24T07:34:50.644977Z
70,45,483,50,1457623,3,2020-09-24T07:34:50.637982Z
478,81,119,85,1457623,2,2020-09-15T07:40:09.367244Z
