event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,58,58,1833895,1859387,1833895,0,1000,0,0,3
2,28,86,6350522,6352026,4640046,4,1000,1,0,4
3,34,120,5362924,5380794,4965119,2,1002,0,0,6
4,61,181,1658458,1667880,3842826,32,1007,1,0,1
5,72,253,1780494,1788880,3023718,27,1011,1,0,5
6,58,307,1664669,1672826,2754665,21,1014,2,4,20
7,59,366,2368262,2383657,2493654,9,1020,1,0,9
8,72,438,785073,795338,1883289,15,1022,1,0,14
9,48,486,5231042,5238056,2279615,30,1026,1,0,2
10,60,546,723711,730855,1777426,30,1027,0,0,2
11,61,607,4261833,4271553,1957357,11,1028,2,0,8
12,63,670,1528786,1542908,1748805,17,1027,1,0,2
13,51,721,1543963,1562112,1573286,15,1029,1,0,1
14,76,797,1403701,1415909,1342936,15,1032,0,0,0
15,46,843,2894431,2908426,1338281,0,1033,2,0,0
16,45,888,2022636,2042889,1279616,0,1035,0,0,0
17,50,938,5148717,5165112,1540721,0,1034,0,0,2
18,8,946,7547012,7554439,2122041,0,1034,0,0,0
19,67,1013,4774604,4789756,2365380,0,1031,0,0,0
20,31,1044,6185914,6201640,2576352,0,1028,0,0,5
21,70,1114,800593,807018,2232631,0,1027,0,0,13
22,64,1178,3141604,3154358,2257149,0,1028,0,0,5
23,80,1258,553333,560407,1999330,0,1033,0,0,5
