,id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,entry_rank,entry_last_rank
0,215,Slovenia,region-195,2020-08-15T09:00:50.577411Z,False,,,s,c,,1,False,False,False,False,,,1722,1880
1,276,Gameweek 1,event-1,2020-08-15T09:00:52.298412Z,False,,,s,c,,1,False,False,False,False,,,1625013,1805463
2,314,Overall,overall,2020-08-15T09:00:54.021038Z,False,,,s,c,,1,False,False,False,True,315.0,True,1661657,1850215
3,99577,FPL Experts fantasy league,,2020-08-16T15:13:25.996652Z,False,,,x,c,183353.0,1,True,False,False,False,,,924,978
4,714984,Slov,,2020-09-07T15:35:02.736044Z,False,,,x,c,3183059.0,1,True,False,False,False,,,5,5
5,746814,PL 2019/20,,2020-09-08T07:38:37.027345Z,False,,,x,c,3327253.0,1,True,False,False,False,,,8,9
