event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,41,41,3691851,3778786,3691851,0,1000,0,0,11
2,81,114,771078,772525,2330132,4,998,3,8,2
3,48,162,2157810,2201595,1929998,0,1001,0,0,7
4,32,190,5778851,5789263,3322735,0,1008,2,4,3
5,48,234,5466183,5477695,4033629,22,1013,2,4,0
6,49,283,3283737,3335116,3911285,22,1016,0,0,1
7,53,332,3786821,3810713,4064133,12,1019,2,4,0
8,65,397,1784102,1819528,3593699,7,1020,1,0,2
9,47,444,5389311,5407745,3879033,10,1023,1,0,0
10,64,504,427917,438448,3305610,6,1021,2,4,7
11,63,567,3803156,3836424,3311501,12,1023,1,0,0
12,63,630,1528786,1563491,3000176,0,1025,1,0,2
13,42,668,4229102,4261980,3169457,7,1026,2,4,3
14,79,743,1143142,1156087,2804695,4,1029,2,4,2
15,64,807,271568,281076,2249645,16,1030,1,0,2
16,51,858,1039880,1067916,1988340,6,1034,1,0,0
17,72,930,1111331,1136020,1732698,8,1036,1,0,13
18,32,958,3292881,3308144,1875304,16,1036,2,4,0
19,80,1038,2841028,2856834,1885244,1,1036,1,0,1
20,44,1074,3349542,3357290,2012027,29,1035,3,8,2
21,52,1122,3360472,3380591,2097080,50,1039,2,4,0
22,85,1203,702865,712766,1850215,5,1040,2,4,-4
23,77,1280,904161,927997,1661657,14,1046,1,0,22
