element_in,element_in_cost,element_out,element_out_cost,entry,event,time
437,67,164,76,4172675,23,2021-02-05T09:54:38.979618Z
254,126,390,96,4172675,22,2021-02-02T13:21:01.855814Z
217,55,523,40,4172675,22,2021-01-31T10:47:18.058707Z
164,76,388,110,4172675,21,2021-01-30T09:02:51.786094Z
271,56,55,43,4172675,21,2021-01-26T20:48:56.724263Z
276,114,272,118,4172675,20,2021-01-22T18:02:20.323585Z
273,51,16,44,4172675,20,2021-01-22T09:58:50.167415Z
50,43,164,74,4172675,20,2021-01-17T20:48:50.639961Z
435,54,519,39,4172675,19,2021-01-15T16:47:06.362734Z
272,118,254,124,4172675,18,2021-01-12T09:34:29.385650Z
55,43,191,45,4172675,18,2021-01-01T23:32:37.739811Z
16,44,42,46,4172675,17,2020-12-31T09:40:21.801916Z
239,49,146,39,4172675,16,2020-12-27T15:28:09.003849Z
200,47,232,59,4172675,15,2020-12-23T07:56:54.353138Z
42,46,46,47,4172675,14,2020-12-19T09:29:50.290504Z
254,123,272,119,4172675,14,2020-12-16T23:04:26.594827Z
272,119,254,122,4172675,13,2020-12-15T10:45:42.944712Z
46,47,11,51,4172675,13,2020-12-13T22:16:11.637764Z
390,95,114,83,4172675,12,2020-12-06T23:25:08.162181Z
376,45,41,51,4172675,11,2020-12-04T09:50:36.107182Z
114,83,141,71,4172675,10,2020-11-26T17:54:50.307930Z
302,108,272,116,4172675,10,2020-11-26T17:54:50.294094Z
37,75,508,78,4172675,9,2020-11-19T23:11:17.163473Z
11,51,46,46,4172675,8,2020-11-05T10:19:03.278639Z
388,109,224,100,4172675,7,2020-10-30T16:38:10.088620Z
232,58,498,57,4172675,7,2020-10-30T15:43:26.465710Z
37,72,191,45,4172675,6,2020-10-23T14:48:47.666026Z
390,94,272,115,4172675,6,2020-10-23T14:48:47.665680Z
388,108,224,100,4172675,6,2020-10-23T14:48:47.665308Z
262,45,202,57,4172675,6,2020-10-23T14:48:47.665003Z
170,39,519,40,4172675,6,2020-10-23T14:48:47.664669Z
232,57,146,41,4172675,6,2020-10-23T14:48:47.664222Z
196,39,41,51,4172675,6,2020-10-23T14:48:47.663867Z
255,71,498,57,4172675,6,2020-10-23T14:48:47.663451Z
12,48,455,55,4172675,6,2020-10-23T14:48:47.662962Z
455,55,213,45,4172675,6,2020-10-22T20:11:55.612598Z
213,45,252,60,4172675,5,2020-10-17T09:47:32.557522Z
508,77,275,84,4172675,5,2020-10-03T18:08:09.733525Z
275,84,390,90,4172675,4,2020-10-02T18:59:17.497545Z
224,100,117,94,4172675,4,2020-10-02T18:59:17.376735Z
519,40,513,45,4172675,3,2020-09-23T12:41:06.159016Z
191,45,338,55,4172675,3,2020-09-23T12:41:06.155556Z
146,41,66,45,4172675,3,2020-09-23T12:41:06.151209Z
164,72,166,80,4172675,3,2020-09-23T12:41:06.147473Z
202,57,492,59,4172675,3,2020-09-23T12:41:06.143690Z
254,121,105,50,4172675,3,2020-09-23T12:41:06.139749Z
272,116,306,95,4172675,3,2020-09-23T12:41:06.135717Z
498,56,238,55,4172675,3,2020-09-23T12:41:06.131658Z
41,50,458,55,4172675,3,2020-09-23T12:41:06.127604Z
46,45,259,75,4172675,3,2020-09-23T12:41:06.123605Z
523,40,431,50,4172675,3,2020-09-20T15:19:24.171851Z
66,45,102,60,4172675,3,2020-09-20T15:17:19.587017Z
306,95,18,79,4172675,2,2020-09-18T17:42:53.174159Z
513,45,250,65,4172675,2,2020-09-18T17:42:53.082108Z
105,50,113,50,4172675,2,2020-09-15T15:01:33.040694Z
