,id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_rank,entry_last_rank,entry_can_leave,entry_can_admin,entry_can_invite
0,5,Chelsea,team-5,2020-08-15T09:00:46.916684Z,False,,,s,c,,1,220238,199736,False,False,False
1,215,Slovenia,region-195,2020-08-15T09:00:50.577411Z,False,,,s,c,,1,3190,3016,False,False,False
2,276,Gameweek 1,event-1,2020-08-15T09:00:52.298412Z,False,,,s,c,,1,3283554,3109666,False,False,False
3,314,Overall,overall,2020-08-15T09:00:54.021038Z,False,,,s,c,,1,3384722,3195935,False,False,False
4,592,Beat the FPL Panel - 3lul33,,2020-08-15T09:46:24.352048Z,False,,,x,c,53.0,1,37097,34780,True,False,False
5,129628,Fuzbal za kašeljsko,,2020-08-17T10:47:18.451469Z,False,,,x,c,438577.0,1,8,7,True,False,False
6,217187,Morje,,2020-08-20T10:35:47.452118Z,False,,,x,c,1025697.0,1,3,3,True,False,False
7,746814,PL 2019/20,,2020-09-08T07:38:37.027345Z,False,,,x,c,3327253.0,1,12,11,True,False,False
