element_in,element_in_cost,element_out,element_out_cost,entry,event,time
202,66,50,43,5209323,23,2021-02-05T00:26:21.712382Z
231,73,55,42,5209323,23,2021-02-05T00:26:21.703267Z
437,66,388,111,5209323,22,2021-02-02T16:29:29.552319Z
276,115,272,118,5209323,20,2021-01-25T17:30:16.376478Z
388,111,224,101,5209323,20,2021-01-23T11:41:36.445101Z
506,65,164,77,5209323,18,2021-01-11T18:33:14.014753Z
272,117,254,125,5209323,18,2021-01-08T21:22:47.358046Z
273,50,369,47,5209323,18,2021-01-08T21:17:01.856335Z
556,57,232,58,5209323,15,2020-12-24T21:03:13.179957Z
254,124,272,118,5209323,14,2020-12-18T22:45:13.527919Z
272,118,254,122,5209323,13,2020-12-14T08:42:52.291410Z
254,122,272,117,5209323,12,2020-12-08T01:24:36.882254Z
369,47,461,51,5209323,11,2020-12-02T11:41:48.705438Z
272,116,141,73,5209323,10,2020-11-23T22:41:50.188099Z
224,101,388,108,5209323,10,2020-11-23T09:15:15.291515Z
302,106,254,122,5209323,9,2020-11-20T12:04:35.299507Z
435,51,259,73,5209323,9,2020-11-20T12:04:35.291546Z
548,50,483,49,5209323,7,2020-10-30T14:50:52.558956Z
388,106,506,64,5209323,5,2020-10-16T13:42:24.430379Z
141,72,272,116,5209323,5,2020-10-16T13:42:24.429526Z
146,41,471,43,5209323,5,2020-10-09T21:36:40.320347Z
461,51,328,45,5209323,5,2020-10-09T21:36:40.319863Z
164,76,184,60,5209323,5,2020-10-04T23:00:50.746798Z
506,64,117,94,5209323,5,2020-10-04T23:00:50.744033Z
390,90,500,84,5209323,5,2020-10-04T23:00:50.741334Z
37,70,469,56,5209323,5,2020-10-04T23:00:50.738615Z
232,55,123,51,5209323,5,2020-10-04T23:00:50.735727Z
254,122,251,119,5209323,5,2020-10-03T11:44:20.988781Z
50,45,344,54,5209323,4,2020-10-01T18:00:29.551523Z
469,56,338,54,5209323,3,2020-09-26T06:46:41.930079Z
272,116,4,119,5209323,3,2020-09-26T06:46:41.825677Z
123,51,457,60,5209323,3,2020-09-24T18:10:11.145324Z
