event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,36,36,4287238,4389527,4287238,0,1000,0,0,7
2,58,94,3147461,3202130,4011517,0,999,0,0,8
3,40,130,4197373,4211058,4394172,10,996,3,4,3
4,19,149,6766592,6775503,5445418,19,995,1,0,2
5,83,232,549867,572854,4115807,4,997,0,0,2
6,54,286,2252022,2306534,3757447,4,1006,0,0,8
7,65,351,1294945,1327826,3195935,3,1011,1,0,0
8,64,415,1895801,1942528,2830082,3,1017,0,0,6
9,70,485,1304599,1336117,2313365,41,1016,2,0,3
10,62,543,592406,608143,1885765,5,1016,2,4,2
11,77,620,1190549,1220017,1543561,9,1025,1,0,1
12,72,692,423821,442731,1136850,4,1025,1,0,2
13,40,732,4776808,4830248,1274978,8,1027,1,0,1
14,96,828,88668,93622,695243,2,1027,1,0,0
15,41,869,3999583,4035991,802927,3,1025,1,0,0
16,29,898,5874586,5968858,1072477,3,1025,0,0,0
17,63,961,2581369,2658133,1064384,3,1024,0,0,1
18,39,996,2261791,2269049,1118765,20,1025,3,4,0
19,122,1118,162679,167123,612830,20,1022,0,0,0
20,55,1173,1357399,1377668,518705,13,1025,2,0,2
21,45,1218,4520652,4582234,628980,13,1030,0,0,0
22,88,1306,477922,494875,489701,58,1033,1,0,0
23,65,1371,3036376,3064349,512926,4,1040,2,0,9
