,id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,entry_rank,entry_last_rank
0,215,Slovenia,region-195,2020-08-15T09:00:50.577411Z,False,,,s,c,,1,False,False,False,False,,,2518,2320
1,276,Gameweek 1,event-1,2020-08-15T09:00:52.298412Z,False,,,s,c,,1,False,False,False,False,,,2529859,2287407
2,314,Overall,overall,2020-08-15T09:00:54.021038Z,False,,,s,c,,1,False,False,False,True,315.0,True,2634176,2365912
3,183524,Veseli ventilÄ�ki,,2020-08-19T06:41:22.484607Z,False,,,x,c,885153.0,1,True,False,False,False,,,6,6
4,217187,Morje,,2020-08-20T10:35:47.452118Z,False,,,x,c,1025697.0,1,True,False,False,False,,,3,3
5,746814,PL 2019/20,,2020-09-08T07:38:37.027345Z,False,,,x,c,3327253.0,1,True,False,False,False,,,13,13
