event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,20,20,5503220,5533533,5503220,0,1000,0,0,0
2,47,59,4858488,4862588,5866558,13,1000,3,8,0
3,37,96,4709123,4779268,5904773,13,1002,0,0,0
4,65,161,1193608,1219076,4936224,1,997,0,0,1
5,79,240,934537,949637,3715510,25,1004,1,0,1
6,50,290,3066859,3128786,3570884,25,1011,0,0,0
7,45,335,5570915,5593273,3925731,0,1011,2,0,0
8,57,392,3292105,3349120,3776428,0,1013,0,0,0
9,63,455,2381831,2421159,3467493,0,1013,0,0,0
10,53,504,1954370,1962836,3295713,1,1009,3,4,1
11,84,584,490592,503205,2737107,3,1012,2,4,1
12,53,637,3634149,3678543,2776460,20,1016,1,0,0
13,47,684,2436344,2531780,2679444,20,1016,0,0,0
14,81,765,931775,945153,2186009,0,1016,2,0,0
15,31,796,6009349,6076945,2531994,0,1018,0,0,0
16,43,839,2466663,2553399,2453621,0,1018,0,0,0
17,37,876,6897682,6937626,3008841,0,1017,0,0,1
18,25,897,4725905,4731694,3203394,0,1011,3,4,0
19,75,964,3622012,3626665,3344619,0,1008,3,8,1
20,48,1012,2342634,2399581,3203829,0,1011,0,0,0
21,88,1100,54172,57624,2501128,0,1010,0,0,0
22,72,1172,2131643,2149964,2365912,1,1013,2,0,0
23,48,1220,6025345,6070432,2634176,1,1018,0,0,0
