element_in,element_in_cost,element_out,element_out_cost,entry,event,time
140,56,181,53,5039919,22,2021-02-02T10:32:34.779174Z
302,114,272,118,5039919,22,2021-02-02T10:32:34.772008Z
181,53,388,110,5039919,19,2021-01-16T10:39:51.862129Z
276,114,275,81,5039919,19,2021-01-16T10:39:51.861386Z
272,118,390,94,5039919,19,2021-01-16T10:39:51.851935Z
506,66,164,76,5039919,18,2021-01-12T16:26:16.758274Z
388,110,224,102,5039919,18,2021-01-12T16:26:16.755260Z
313,53,123,51,5039919,18,2021-01-12T16:26:16.738679Z
275,84,468,68,5039919,14,2020-12-19T08:49:24.617848Z
88,49,197,45,5039919,14,2020-12-19T08:49:24.606563Z
37,77,306,94,5039919,12,2020-12-11T13:02:09.831917Z
468,69,37,76,5039919,11,2020-12-04T17:18:01.252643Z
548,52,12,47,5039919,11,2020-12-04T17:18:01.241134Z
224,102,68,64,5039919,10,2020-11-24T20:24:34.543042Z
37,76,272,115,5039919,10,2020-11-24T20:24:34.541854Z
123,51,41,51,5039919,10,2020-11-24T20:24:34.529809Z
272,115,508,78,5039919,7,2020-10-30T14:46:42.616978Z
197,45,498,57,5039919,7,2020-10-30T14:46:42.604303Z
390,91,272,115,5039919,5,2020-10-16T13:53:11.049586Z
209,44,426,45,5039919,4,2020-10-03T07:37:29.114333Z
164,75,117,94,5039919,4,2020-10-03T07:37:29.112116Z
68,65,6,85,5039919,4,2020-10-03T07:37:29.109897Z
508,77,315,74,5039919,4,2020-10-03T07:37:29.107320Z
254,122,478,80,5039919,4,2020-10-03T07:37:29.104392Z
255,70,457,59,5039919,4,2020-10-03T07:37:29.101803Z
498,57,17,54,5039919,4,2020-10-03T07:37:29.098654Z
41,50,347,54,5039919,4,2020-10-03T07:37:29.095984Z
12,46,112,49,5039919,4,2020-10-03T07:37:29.093070Z
6,85,262,45,5039919,2,2020-09-18T19:52:05.330507Z
202,56,268,105,5039919,2,2020-09-18T19:52:05.326742Z
478,81,119,85,5039919,2,2020-09-18T19:52:05.184558Z
