event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,71,71,773592,836273,773592,0,1000,0,0,1
2,69,140,1774260,1804265,549807,0,999,1,0,6
3,33,173,5553996,5610352,1135141,0,1001,0,0,6
4,43,216,4192435,4235507,1700165,0,999,0,0,9
5,48,264,5435074,5458388,2433549,14,1000,1,0,3
6,47,307,3892800,3921247,2746716,5,1001,2,4,22
7,64,371,1447515,1481505,2251943,19,1004,1,0,0
8,50,421,4806865,4837701,2581200,11,1006,1,0,14
9,55,472,4029094,4056585,2825552,58,1001,2,4,7
10,47,515,3261154,3290144,2904832,3,1002,2,4,15
11,62,577,4010556,4047769,2974058,8,1009,1,0,4
12,53,630,3634149,3677566,2994689,6,1011,1,0,3
13,35,665,6086636,6115034,3251658,16,1011,1,0,3
14,69,734,2461142,2488038,3046047,13,1008,1,0,3
15,52,782,1660698,1696209,2906723,3,1006,2,4,4
16,62,844,135524,142870,2332374,11,1009,1,0,9
17,48,892,5606001,5621479,2633158,17,1013,1,0,1
18,48,940,1047512,1126042,2259735,17,1013,0,0,5
19,61,997,5856572,5862918,2691594,27,1009,2,4,4
20,47,1044,2638073,2666893,2583658,40,1009,1,0,22
21,49,1093,3775803,3831063,2634026,40,1010,0,0,4
22,88,1181,454019,470934,2212079,40,1010,0,0,10
23,71,1252,1847708,1871053,2104212,6,1011,2,0,10
