element_in,element_in_cost,element_out,element_out_cost,entry,event,time
117,92,249,94,4900127,23,2021-02-05T20:59:15.420008Z
390,97,284,61,4900127,23,2021-02-05T20:59:15.405453Z
303,88,224,101,4900127,20,2021-01-26T15:53:14.531698Z
284,63,287,69,4900127,19,2021-01-16T09:57:08.251311Z
449,53,474,57,4900127,19,2021-01-16T09:57:08.239344Z
75,39,200,47,4900127,18,2021-01-12T15:26:21.511173Z
506,66,202,62,4900127,18,2021-01-12T15:26:21.510873Z
146,39,123,51,4900127,18,2021-01-12T15:26:21.510582Z
503,40,363,46,4900127,18,2021-01-12T15:26:21.510270Z
303,88,224,102,4900127,18,2021-01-12T15:26:21.509980Z
388,110,249,93,4900127,18,2021-01-12T15:26:21.509686Z
390,98,287,69,4900127,18,2021-01-12T15:26:21.509399Z
23,44,474,57,4900127,18,2021-01-12T15:26:21.509084Z
556,58,470,41,4900127,18,2021-01-12T15:26:21.508759Z
277,58,239,47,4900127,18,2021-01-12T15:26:21.508466Z
17,54,255,72,4900127,18,2021-01-12T15:26:21.508130Z
383,56,128,48,4900127,18,2021-01-12T15:26:21.507756Z
24,52,57,58,4900127,17,2021-01-01T14:31:43.323529Z
287,69,296,77,4900127,16,2020-12-28T09:36:56.140138Z
200,47,146,39,4900127,15,2020-12-26T09:54:31.069179Z
249,93,282,91,4900127,15,2020-12-26T09:54:31.060242Z
296,77,141,74,4900127,14,2020-12-19T09:48:20.588068Z
57,58,468,68,4900127,13,2020-12-15T13:57:37.438377Z
275,84,114,82,4900127,12,2020-12-11T08:27:19.655622Z
224,103,388,108,4900127,11,2020-12-04T22:04:36.298939Z
468,67,485,48,4900127,10,2020-11-27T15:37:41.866396Z
282,93,184,57,4900127,10,2020-11-27T15:37:41.854791Z
302,107,254,121,4900127,9,2020-11-21T09:52:11.376840Z
114,82,276,115,4900127,9,2020-11-21T09:52:11.369594Z
141,74,284,66,4900127,8,2020-11-06T15:59:24.415778Z
184,58,118,72,4900127,7,2020-10-30T14:36:20.032141Z
388,108,224,100,4900127,6,2020-10-23T11:26:19.113090Z
470,41,519,40,4900127,6,2020-10-23T11:26:19.106737Z
474,55,120,69,4900127,5,2020-10-16T12:24:22.906044Z
202,58,320,55,4900127,4,2020-10-03T09:59:16.733426Z
224,101,184,60,4900127,4,2020-10-03T09:59:16.731564Z
118,73,117,94,4900127,4,2020-10-03T09:59:16.729743Z
485,51,493,45,4900127,4,2020-10-03T09:59:16.728072Z
120,69,390,90,4900127,4,2020-10-03T09:59:16.726010Z
284,66,338,54,4900127,4,2020-10-03T09:59:16.724202Z
276,115,4,119,4900127,4,2020-10-03T09:59:16.722620Z
519,40,457,59,4900127,4,2020-10-03T09:59:16.720431Z
255,70,259,75,4900127,4,2020-10-03T09:59:16.718690Z
123,51,27,43,4900127,4,2020-10-03T09:59:16.716752Z
128,50,483,50,4900127,4,2020-10-03T09:59:16.711959Z
239,45,471,45,4900127,2,2020-09-18T12:09:49.342121Z
