element_in,element_in_cost,element_out,element_out_cost,entry,event,time
390,95,275,84,3952673,7,2020-10-30T10:19:24.111567Z
302,105,141,72,3952673,7,2020-10-30T10:19:24.086138Z
470,40,123,50,3952673,6,2020-10-20T05:34:10.547590Z
275,85,272,116,3952673,5,2020-10-17T08:27:45.464922Z
388,106,117,93,3952673,5,2020-10-05T05:12:02.292413Z
272,117,390,90,3952673,4,2020-10-03T06:04:12.171244Z
123,51,353,49,3952673,3,2020-09-26T07:03:16.686248Z
469,56,338,54,3952673,3,2020-09-26T07:03:16.512312Z
141,71,4,119,3952673,3,2020-09-24T10:00:03.765025Z
