element_in,element_in_cost,element_out,element_out_cost,entry,event,time
96,55,417,45,5687292,23,2021-02-06T10:49:16.948164Z
273,52,461,50,5687292,22,2021-02-02T16:27:26.087701Z
277,59,110,55,5687292,21,2021-01-29T23:29:56.535016Z
231,72,474,57,5687292,20,2021-01-26T16:10:38.771647Z
437,63,377,60,5687292,19,2021-01-16T10:55:26.913882Z
449,53,275,81,5687292,19,2021-01-16T10:55:26.906065Z
271,54,474,58,5687292,18,2021-01-12T16:29:08.344226Z
578,40,503,40,5687292,18,2021-01-12T16:25:11.345720Z
181,53,377,60,5687292,18,2021-01-12T16:22:05.738550Z
388,110,224,101,5687292,18,2021-01-12T16:22:05.738257Z
6,83,202,64,5687292,18,2021-01-12T16:22:05.737936Z
272,118,275,81,5687292,18,2021-01-12T16:22:05.737627Z
23,44,254,122,5687292,18,2021-01-12T16:22:05.737330Z
390,98,24,52,5687292,18,2021-01-12T16:22:05.737005Z
146,39,461,50,5687292,18,2021-01-12T16:22:05.736679Z
470,41,432,49,5687292,18,2021-01-12T16:22:05.736372Z
324,45,391,50,5687292,18,2021-01-12T16:22:05.736041Z
277,58,110,55,5687292,18,2021-01-12T16:22:05.735731Z
17,54,46,46,5687292,18,2021-01-12T16:22:05.735415Z
503,40,417,45,5687292,18,2021-01-12T16:22:05.735086Z
325,50,363,46,5687292,18,2021-01-12T16:22:05.734652Z
24,52,370,62,5687292,17,2021-01-01T15:53:58.475892Z
461,50,123,51,5687292,17,2021-01-01T15:47:15.708132Z
275,84,468,68,5687292,14,2020-12-19T10:58:59.924541Z
202,63,569,80,5687292,13,2020-12-15T16:28:58.221055Z
569,81,388,109,5687292,11,2020-12-05T10:57:04.918495Z
468,69,390,93,5687292,11,2020-12-05T10:57:04.918206Z
370,61,364,45,5687292,11,2020-12-05T10:57:04.917889Z
474,56,284,65,5687292,11,2020-12-05T10:57:04.917590Z
302,109,76,45,5687292,11,2020-12-05T10:57:04.917296Z
391,49,461,51,5687292,11,2020-12-05T10:57:04.916965Z
432,49,239,47,5687292,11,2020-12-05T10:57:04.916614Z
417,45,128,50,5687292,11,2020-12-05T10:57:04.916246Z
110,53,75,39,5687292,8,2020-11-06T14:47:51.434535Z
388,109,184,58,5687292,7,2020-10-30T18:28:31.441403Z
284,66,4,117,5687292,7,2020-10-30T18:27:25.659930Z
128,50,157,50,5687292,5,2020-10-17T09:58:17.784188Z
390,92,272,116,5687292,5,2020-10-17T09:54:21.860077Z
272,116,394,77,5687292,3,2020-09-26T09:51:07.508293Z
46,45,259,75,5687292,3,2020-09-26T09:51:07.505704Z
461,51,17,55,5687292,3,2020-09-26T09:51:07.400602Z
