event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,83,83,202673,230904,202673,10,1000,0,0,12
2,44,127,5126435,5174990,1225137,10,1001,0,0,0
3,47,170,2540560,2552973,1358770,5,999,3,4,7
4,47,217,3566808,3616951,1662318,5,1002,0,0,18
5,53,270,4776811,4798039,2149496,29,1000,2,0,7
6,59,329,1400860,1445640,1706443,29,1002,0,0,9
7,51,380,4257397,4287977,1857800,29,1004,2,0,5
8,61,441,2548851,2597835,1769936,15,1005,1,0,8
9,54,495,4088242,4145016,1935913,15,1004,0,0,7
10,39,534,4936569,5021978,2201582,15,1005,0,0,9
11,62,596,3912917,3977193,2318138,1,1006,0,0,5
12,61,657,1815474,1872727,2138064,1,1012,0,0,8
13,42,699,4157515,4220123,2214226,18,1013,1,0,5
14,78,777,1227983,1253793,1849863,2,1016,1,0,4
15,50,827,1920042,1973308,1717131,2,1019,0,0,4
16,45,872,2022636,2110673,1634807,2,1021,0,0,0
17,55,927,4373826,4394234,1787722,13,1023,2,0,7
18,50,977,822541,901514,1469372,13,1022,0,0,2
19,77,1050,3297289,3312637,1648764,38,1021,2,4,0
20,49,1099,2255970,2286365,1547210,23,1019,1,0,0
21,55,1154,2792923,2824273,1520644,19,1015,1,0,3
22,72,1226,2094700,2127604,1474333,17,1018,1,0,3
23,33,1259,7394357,7395542,1985063,7,1024,1,0,13
