element_in,element_in_cost,element_out,element_out_cost,entry,event,time
224,100,262,45,1025697,23,2021-02-06T08:00:46.882389Z
145,38,146,39,1025697,23,2021-02-06T08:00:46.876421Z
164,76,388,110,1025697,21,2021-01-29T21:56:08.142456Z
276,115,306,95,1025697,21,2021-01-29T09:40:23.071450Z
231,71,272,117,1025697,20,2021-01-23T00:07:46.623388Z
273,51,576,45,1025697,20,2021-01-23T00:07:46.613795Z
576,45,16,45,1025697,19,2021-01-16T10:53:51.959188Z
262,45,588,55,1025697,18,2021-01-02T23:19:59.947259Z
24,52,469,55,1025697,18,2021-01-02T23:19:59.946940Z
306,95,254,125,1025697,18,2021-01-02T23:19:59.946618Z
272,116,231,70,1025697,18,2021-01-02T23:19:59.946273Z
16,45,470,41,1025697,18,2021-01-02T23:19:59.945939Z
211,39,97,45,1025697,18,2021-01-02T23:19:59.945590Z
291,53,548,51,1025697,18,2021-01-02T23:19:59.945066Z
588,55,164,77,1025697,16,2020-12-28T13:29:09.414995Z
390,97,37,76,1025697,16,2020-12-28T13:29:09.402194Z
202,64,514,60,1025697,15,2020-12-22T22:38:43.911480Z
254,125,272,117,1025697,15,2020-12-22T22:38:43.899380Z
231,70,468,69,1025697,13,2020-12-14T21:47:46.887704Z
468,69,508,77,1025697,12,2020-12-05T15:09:20.146876Z
556,56,519,40,1025697,11,2020-12-04T17:52:15.416670Z
548,51,12,47,1025697,11,2020-12-01T18:03:45.486074Z
272,116,141,73,1025697,10,2020-11-25T22:12:14.326576Z
514,60,460,84,1025697,9,2020-11-09T09:31:27.393123Z
37,74,390,94,1025697,9,2020-11-09T09:31:27.391558Z
56,40,35,40,1025697,9,2020-11-09T09:31:27.381335Z
470,42,260,54,1025697,8,2020-11-01T16:29:06.571279Z
141,73,69,60,1025697,7,2020-10-27T12:11:40.009542Z
388,107,224,101,1025697,6,2020-10-19T16:30:35.322944Z
12,47,363,45,1025697,6,2020-10-19T16:30:35.311481Z
390,92,272,115,1025697,5,2020-10-17T08:05:12.931750Z
224,101,202,58,1025697,4,2020-10-03T09:57:38.809034Z
363,45,12,45,1025697,4,2020-10-03T09:49:24.590961Z
460,86,224,100,1025697,4,2020-09-30T11:51:21.731684Z
508,77,144,44,1025697,4,2020-09-30T11:51:21.728080Z
69,60,4,119,1025697,4,2020-09-30T11:51:21.719466Z
164,74,506,64,1025697,4,2020-09-29T21:52:20.299770Z
202,58,184,60,1025697,4,2020-09-29T21:52:20.297322Z
224,100,117,94,1025697,4,2020-09-29T21:52:20.294910Z
144,44,338,54,1025697,4,2020-09-29T21:52:20.292425Z
519,40,279,55,1025697,4,2020-09-29T21:52:20.289027Z
12,45,363,45,1025697,4,2020-09-29T21:52:20.285801Z
469,56,55,45,1025697,3,2020-09-25T12:47:23.697738Z
146,40,353,50,1025697,3,2020-09-19T17:33:29.807500Z
272,115,254,120,1025697,2,2020-09-15T13:28:47.616376Z
302,105,390,90,1025697,2,2020-09-15T09:34:19.439041Z
