,season_name,total_points,rank
0,2011/12,1386,2280267
1,2012/13,1487,2123106
2,2013/14,2078,730982
3,2014/15,1783,1199356
4,2015/16,2070,321924
5,2016/17,1805,1795611
6,2017/18,1724,3393804
7,2018/19,2201,266540
8,2019/20,2144,589724
