event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,65,65,1209481,1228991,1209481,15,1000,0,0,0
2,49,110,4572406,4575326,2678844,5,1001,2,4,3
3,46,152,2714462,2723517,2735618,4,1001,2,4,1
4,54,206,2524043,2531119,2316897,12,1001,0,0,3
5,67,273,2519993,2527247,1997437,35,1002,1,0,1
6,52,321,2793873,2800882,2089666,27,1009,2,4,5
7,40,361,6370703,6376779,2742342,14,1011,1,0,0
8,73,434,683606,690628,2054809,26,1013,1,0,1
9,56,482,3876461,3878943,2449377,70,1015,3,8,0
10,49,531,2734021,2746987,2327515,27,1014,1,0,9
11,68,595,2809828,2818164,2370969,7,1017,2,4,0
12,61,656,1898956,1910342,2187745,15,1017,1,0,0
13,31,687,6795210,6798122,2597324,14,1019,1,0,9
14,87,774,401549,406653,1944634,14,1020,0,0,4
15,44,818,3350645,3359476,1960944,2,1020,2,0,1
16,27,841,6428075,6429762,2412901,3,1019,2,4,0
17,73,914,909996,919369,2107425,3,1021,0,0,0
18,63,977,37866,41588,1480667,0,1023,0,0,0
19,95,1072,1264776,1267954,1271605,0,1023,1,0,12
20,39,1107,4496558,4503036,1420042,40,1026,2,4,4
21,49,1152,3915448,3921434,1562872,54,1027,2,4,0
22,95,1247,171913,173893,1173825,54,1029,0,0,1
23,70,1317,2030470,2036546,1121228,0,1034,2,0,4
