event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,50,50,2644018,2705453,2644018,0,1000,0,0,0
2,67,117,2015967,2038017,2030155,15,998,1,0,0
3,31,136,6028514,6030351,3992986,40,1003,4,12,8
4,68,204,962728,976509,2451432,9,1003,1,0,0
5,81,285,709909,727531,1438114,9,1005,0,0,1
6,38,323,5754973,5767261,1999565,23,1007,2,0,5
7,71,390,631212,638109,1447133,9,1007,2,4,0
8,60,450,2669860,2703796,1437134,9,1012,0,0,0
9,40,490,6256057,6280887,2134283,1,1010,0,0,1
10,55,545,1492586,1522766,1823981,17,1013,1,0,6
11,56,597,5208560,5224071,2299586,15,1019,2,4,0
12,45,642,5310478,5329029,2623331,2,1021,1,0,0
13,48,690,2305411,2345306,2502776,6,1019,1,0,18
14,59,749,3989382,4028878,2632424,6,1018,0,0,3
15,53,798,1525894,1534228,2485323,1,1015,3,4,0
16,43,841,2466663,2521432,2409527,1,1015,0,0,0
17,80,921,338287,347717,1939090,4,1016,1,0,1
18,31,944,3509715,3511763,2176775,18,1018,4,8,0
19,77,1021,3273703,3286735,2215768,20,1018,1,0,2
20,49,1066,2290319,2308293,2162804,56,1017,2,4,8
21,52,1114,3360472,3377221,2244057,6,1021,2,4,0
22,84,1198,723362,740310,1930725,6,1021,0,0,3
23,60,1258,4043247,4070467,2009575,0,1024,1,0,22
