element_in,element_in_cost,element_out,element_out_cost,entry,event,time
37,78,141,72,3327253,23,2021-02-05T13:15:19.366229Z
117,92,588,55,3327253,21,2021-01-29T09:04:08.288308Z
141,72,474,59,3327253,21,2021-01-29T09:04:08.258254Z
388,111,224,101,3327253,20,2021-01-22T22:05:42.693535Z
231,71,272,117,3327253,20,2021-01-22T22:05:42.686587Z
224,101,268,103,3327253,19,2021-01-15T08:29:18.872262Z
268,103,6,83,3327253,18,2021-01-11T14:59:18.247781Z
24,53,37,76,3327253,18,2021-01-11T14:59:18.246620Z
313,53,77,46,3327253,18,2021-01-11T14:59:18.236667Z
6,83,224,101,3327253,18,2021-01-11T14:51:58.830591Z
474,60,370,63,3327253,17,2020-12-31T10:24:15.714080Z
200,47,232,60,3327253,15,2020-12-22T20:15:59.507567Z
588,55,117,93,3327253,15,2020-12-22T20:15:59.506889Z
302,110,203,54,3327253,15,2020-12-22T20:15:59.500399Z
370,63,468,67,3327253,13,2020-12-14T07:00:25.526793Z
390,95,114,82,3327253,12,2020-12-08T08:21:58.141183Z
363,46,12,48,3327253,11,2020-12-03T09:21:45.260124Z
506,65,514,61,3327253,11,2020-11-30T21:50:17.752052Z
203,55,141,71,3327253,10,2020-11-26T09:43:19.431445Z
514,61,506,65,3327253,9,2020-11-20T06:58:26.466937Z
224,101,184,57,3327253,9,2020-11-20T06:58:26.466571Z
468,65,424,44,3327253,9,2020-11-20T06:58:26.466255Z
114,82,306,95,3327253,9,2020-11-20T06:58:26.465956Z
37,75,254,122,3327253,9,2020-11-20T06:58:26.465565Z
277,54,461,51,3327253,9,2020-11-20T06:58:26.465222Z
558,45,146,41,3327253,9,2020-11-20T06:58:26.464594Z
523,40,35,40,3327253,9,2020-11-20T06:58:26.464239Z
306,95,508,78,3327253,7,2020-10-30T18:22:21.591059Z
232,58,155,61,3327253,7,2020-10-30T10:02:36.072834Z
470,41,313,54,3327253,6,2020-10-23T08:59:38.080183Z
12,48,483,49,3327253,6,2020-10-23T08:59:38.073439Z
254,121,390,90,3327253,4,2020-10-01T09:17:42.400101Z
508,76,119,84,3327253,3,2020-09-25T20:08:57.680863Z
272,116,4,120,3327253,3,2020-09-22T08:23:45.218323Z
146,41,407,45,3327253,3,2020-09-22T08:20:58.605359Z
77,45,389,54,3327253,3,2020-09-22T08:20:58.482799Z
155,60,259,75,3327253,2,2020-09-17T12:54:39.329685Z
