,season_name,total_points,rank
0,2010/11,1568,1505908
1,2011/12,1746,1047768
2,2012/13,1644,1652543
3,2013/14,2176,365005
4,2014/15,1276,3175470
5,2015/16,1205,3502588
6,2016/17,2017,526915
7,2017/18,2064,701996
8,2018/19,2225,192320
9,2019/20,2189,341936
