event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,67,67,1055000,1108637,1055000,5,1000,0,0,0
2,48,115,4598051,4636106,2161044,5,1001,0,0,9
3,43,154,3460040,3470720,2563035,2,1005,3,4,4
4,46,200,3789178,3817326,2687850,5,1007,1,0,19
5,68,264,2404086,2426133,2465903,32,1007,2,4,9
6,52,316,2647901,2691446,2323465,4,1017,0,0,13
7,60,376,2068548,2114120,2029828,4,1025,0,0,12
8,70,442,1087781,1094447,1734951,11,1031,3,4,3
9,49,487,5099623,5116110,2252845,26,1031,2,4,0
10,59,546,884824,911595,1792156,0,1033,1,0,1
11,71,613,2219075,2244945,1773434,8,1038,2,4,0
12,58,671,2513617,2552228,1728718,4,1039,1,0,0
13,42,709,4229102,4260818,1930962,2,1041,2,4,2
14,81,790,859368,885398,1525515,2,1042,0,0,2
15,48,838,2454847,2486424,1463554,0,1045,2,0,9
16,45,883,2022636,2082085,1396144,0,1048,0,0,0
17,74,957,793347,826475,1149628,0,1049,0,0,4
18,45,1002,1412742,1467825,1017628,0,1047,0,0,3
19,79,1077,3004478,3016273,1188001,13,1046,2,4,4
20,48,1125,2442361,2466871,1129471,7,1045,1,0,3
21,70,1195,800593,819694,907847,7,1046,0,0,0
22,62,1257,3524371,3537309,1036354,31,1045,2,0,-7
23,51,1308,5692936,5709687,1242316,30,1049,1,0,28
