element,position,multiplier,is_captain,is_vice_captain
548,1,1,False,False
41,2,1,False,False
232,3,1,False,False
494,4,1,False,False
37,5,1,False,False
254,6,2,True,False
370,7,1,False,False
302,8,1,False,False
164,9,1,False,False
202,10,1,False,False
388,11,1,False,True
56,12,0,False,False
468,13,0,False,False
442,14,0,False,False
146,15,0,False,False
