element_in,element_in_cost,element_out,element_out_cost,entry,event,time
313,54,41,53,3994802,23,2021-02-03T10:17:15.075373Z
506,67,388,108,3994802,22,2021-02-01T07:46:33.053681Z
435,55,519,38,3994802,22,2021-02-01T07:46:33.046474Z
556,59,435,53,3994802,20,2021-01-26T07:30:46.002205Z
24,53,370,61,3994802,19,2021-01-16T08:00:05.664392Z
284,63,150,68,3994802,19,2021-01-16T08:00:05.651132Z
23,44,424,43,3994802,18,2021-01-11T19:48:09.175978Z
506,65,202,63,3994802,18,2021-01-11T14:03:24.849423Z
6,83,164,75,3994802,18,2021-01-11T14:03:24.848993Z
424,43,449,52,3994802,18,2021-01-11T14:03:24.848217Z
272,117,254,122,3994802,18,2021-01-11T14:03:24.847683Z
284,62,37,74,3994802,18,2021-01-11T14:03:24.847184Z
390,98,24,52,3994802,18,2021-01-11T14:03:24.846806Z
313,53,435,53,3994802,18,2021-01-11T14:03:24.846342Z
395,46,376,47,3994802,18,2021-01-11T14:03:24.845973Z
323,47,232,59,3994802,18,2021-01-11T14:03:24.845479Z
17,54,41,53,3994802,18,2021-01-11T14:03:24.844996Z
325,50,548,50,3994802,18,2021-01-11T14:03:24.844319Z
449,52,370,61,3994802,18,2021-01-03T09:50:19.561009Z
24,52,150,68,3994802,18,2021-01-03T09:50:19.545480Z
150,68,468,65,3994802,15,2020-12-22T11:49:45.334167Z
519,39,146,40,3994802,15,2020-12-22T11:49:45.326140Z
435,52,494,51,3994802,13,2020-12-14T09:03:01.611849Z
376,46,442,45,3994802,13,2020-12-13T14:22:42.946375Z
494,51,239,47,3994802,12,2020-12-09T09:47:13.212107Z
370,61,141,72,3994802,11,2020-12-01T10:49:58.756779Z
442,45,470,42,3994802,11,2020-12-01T10:49:58.745832Z
302,108,114,82,3994802,10,2020-11-24T20:36:37.038621Z
202,61,506,65,3994802,9,2020-11-18T07:44:18.321702Z
114,82,390,93,3994802,9,2020-11-18T07:44:18.315978Z
468,63,508,79,3994802,8,2020-11-02T15:49:58.856795Z
41,52,46,46,3994802,8,2020-11-02T15:49:58.855557Z
548,50,12,47,3994802,8,2020-11-02T15:49:58.843447Z
470,41,442,45,3994802,6,2020-10-21T08:02:06.835493Z
506,65,184,59,3994802,6,2020-10-19T08:16:40.278007Z
508,79,89,54,3994802,6,2020-10-19T08:16:40.277635Z
46,46,259,75,3994802,6,2020-10-19T08:16:40.277322Z
442,45,200,45,3994802,6,2020-10-19T08:16:40.276960Z
232,57,97,45,3994802,6,2020-10-19T08:16:40.276597Z
12,47,363,45,3994802,6,2020-10-19T08:16:40.276135Z
141,72,198,56,3994802,6,2020-10-19T07:57:19.504496Z
388,106,303,88,3994802,5,2020-10-16T16:41:31.134202Z
37,71,272,116,3994802,5,2020-10-16T16:41:31.120193Z
272,116,4,119,3994802,4,2020-09-30T12:13:19.540361Z
164,72,117,95,3994802,3,2020-09-21T07:03:22.272214Z
198,56,465,65,3994802,3,2020-09-21T07:03:22.265779Z
390,90,338,55,3994802,3,2020-09-21T07:03:22.011419Z
