element_in,element_in_cost,element_out,element_out_cost,entry,event,time
435,56,255,72,5090020,23,2021-02-03T22:09:44.472517Z
273,52,123,50,5090020,21,2021-01-29T20:23:45.010929Z
284,63,474,59,5090020,20,2021-01-25T10:52:44.477000Z
302,113,272,118,5090020,20,2021-01-25T10:51:25.855864Z
437,62,164,75,5090020,19,2021-01-15T11:02:44.707667Z
424,43,474,59,5090020,18,2021-01-12T13:45:05.207060Z
323,47,324,45,5090020,18,2021-01-12T13:45:05.206707Z
17,54,16,44,5090020,18,2021-01-12T13:45:05.206189Z
6,83,506,66,5090020,18,2021-01-12T13:39:07.703758Z
262,45,437,62,5090020,18,2021-01-12T13:39:07.703386Z
388,110,202,62,5090020,18,2021-01-12T13:39:07.703037Z
302,113,254,124,5090020,18,2021-01-12T13:39:07.702683Z
391,51,435,54,5090020,18,2021-01-12T13:39:07.702286Z
146,39,255,72,5090020,18,2021-01-12T13:39:07.701796Z
324,45,239,47,5090020,18,2021-01-12T13:39:07.701385Z
277,58,42,45,5090020,18,2021-01-12T13:39:07.700931Z
580,40,597,44,5090020,18,2021-01-12T13:39:07.700234Z
325,50,363,46,5090020,18,2021-01-12T13:39:07.699446Z
437,62,164,76,5090020,18,2021-01-12T13:25:16.817033Z
435,54,123,50,5090020,18,2021-01-12T13:25:16.810128Z
16,44,513,43,5090020,17,2020-12-31T13:55:42.636289Z
474,59,284,62,5090020,16,2020-12-28T09:56:38.053254Z
390,97,315,71,5090020,15,2020-12-24T13:48:35.862190Z
24,51,37,74,5090020,15,2020-12-24T13:48:35.850892Z
597,44,583,40,5090020,14,2020-12-17T21:39:33.079301Z
315,71,468,68,5090020,13,2020-12-14T11:33:01.857548Z
506,66,282,93,5090020,12,2020-12-10T11:04:19.734612Z
284,64,275,83,5090020,12,2020-12-10T11:04:19.733704Z
272,118,251,120,5090020,12,2020-12-10T11:04:19.730293Z
254,123,114,82,5090020,12,2020-12-10T11:04:19.729005Z
513,43,470,41,5090020,12,2020-12-10T11:04:19.715351Z
275,83,141,73,5090020,11,2020-12-04T12:55:27.863204Z
468,68,508,76,5090020,11,2020-12-01T10:58:28.763900Z
282,93,460,84,5090020,10,2020-11-27T09:03:44.894192Z
255,71,389,52,5090020,10,2020-11-24T06:50:57.585031Z
114,82,390,93,5090020,9,2020-11-20T12:36:19.337760Z
251,120,254,122,5090020,9,2020-11-18T19:10:18.291680Z
42,45,146,41,5090020,8,2020-11-04T11:43:49.056165Z
141,74,275,83,5090020,8,2020-11-04T11:11:08.795138Z
583,40,70,45,5090020,7,2020-10-28T23:36:21.454960Z
202,58,184,59,5090020,7,2020-10-23T20:51:20.731230Z
37,71,198,55,5090020,5,2020-10-17T09:01:47.857134Z
390,92,4,118,5090020,5,2020-10-17T09:01:47.856783Z
470,40,376,45,5090020,5,2020-10-17T09:01:47.856335Z
389,52,17,54,5090020,5,2020-10-17T09:01:47.855945Z
70,45,429,40,5090020,5,2020-10-17T09:01:47.855417Z
254,122,251,119,5090020,4,2020-10-03T06:00:37.717640Z
164,74,506,64,5090020,4,2020-10-01T12:26:16.805274Z
275,84,390,90,5090020,4,2020-10-01T12:26:16.802342Z
429,40,516,45,5090020,4,2020-10-01T12:26:16.682693Z
508,75,338,55,5090020,3,2020-09-20T17:28:54.619421Z
146,41,323,50,5090020,3,2020-09-20T17:28:54.515148Z
198,55,258,64,5090020,3,2020-09-19T15:12:16.944416Z
