,id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,entry_rank,entry_last_rank
0,11,Liverpool,team-11,2020-08-15T09:00:47.011825Z,False,,,s,c,,1,False,False,False,False,,,144022,145233
1,215,Slovenia,region-195,2020-08-15T09:00:50.577411Z,False,,,s,c,,1,False,False,False,False,,,1229,1263
2,276,Gameweek 1,event-1,2020-08-15T09:00:52.298412Z,False,,,s,c,,1,False,False,False,False,,,1094160,1105737
3,314,Overall,overall,2020-08-15T09:00:54.021038Z,False,,,s,c,,1,False,False,False,True,315.0,True,1109895,1121116
4,2119,Odprto Prvenstvo Slavca Malgaja,,2020-08-15T10:04:36.664734Z,False,,,x,c,9007.0,1,True,False,False,False,,,21,22
5,650780,Liverpool FC Slovenia,,2020-09-06T10:22:50.765166Z,False,,,x,c,2921564.0,1,True,False,False,False,,,42,45
6,746814,PL 2019/20,,2020-09-08T07:38:37.027345Z,False,,,x,c,3327253.0,1,True,False,False,False,,,5,6
