event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,74,74,577892,632424,577892,5,1000,0,0,2
2,81,155,716326,738552,144215,5,998,0,0,1
3,34,185,5528207,5537509,575151,3,1003,3,4,11
4,65,238,1286145,1287652,739627,1,1004,4,12,2
5,72,310,1728420,1762298,569980,13,1005,0,0,4
6,44,354,4401261,4471885,776130,13,1011,0,0,14
7,59,413,2423785,2449013,676537,19,1015,2,0,0
8,51,460,4660868,4683849,1098045,24,1016,2,4,17
9,59,515,3264740,3296477,1250894,37,1015,2,4,6
10,35,546,5886057,5898375,1797841,9,1017,2,4,7
11,45,587,6654213,6661520,2646251,7,1022,2,4,0
12,53,624,3739831,3740888,3190119,12,1020,5,16,5
13,48,672,2305411,2360713,3056543,9,1020,1,0,6
14,88,760,371834,384865,2335569,5,1021,1,0,3
15,48,804,2454847,2492838,2333317,2,1020,2,4,3
16,48,852,1536568,1575059,2140267,5,1021,1,0,2
17,71,923,1254635,1284980,1898613,4,1023,1,0,3
18,44,967,1530936,1598424,1687912,4,1025,0,0,9
19,115,1082,310224,313769,1112757,17,1022,1,0,0
20,41,1119,4015051,4043314,1227247,18,1024,2,4,8
21,67,1186,1128943,1148745,1036244,16,1025,1,0,16
22,65,1251,3002049,3047361,1121116,16,1028,0,0,10
23,67,1318,2565836,2608562,1109895,32,1034,1,0,26
